windows_run_0,windows_run_1,window_mean
200,300,250.0
275,300,287.5
300,225,262.5
200,275,237.5
275,200,237.5
200,200,200.0
275,275,275.0
300,225,262.5
325,275,300.0
225,275,250.0
300,200,250.0
275,275,275.0
200,225,212.5
275,225,250.0
225,225,225.0
300,225,262.5
225,475,350.0
225,50,137.5
275,150,212.5
300,275,287.5
225,300,262.5
450,275,362.5
475,450,462.5
275,225,250.0
300,50,175.0
225,225,225.0
50,225,137.5
300,225,262.5
250,300,275.0
300,250,275.0
300,300,300.0
350,250,300.0
225,225,225.0
300,225,262.5
100,325,212.5
250,225,237.5
300,325,312.5
225,350,287.5
300,300,300.0
275,300,287.5
225,350,287.5
225,100,162.5
300,300,300.0
350,300,325.0
300,300,300.0
350,325,337.5
325,350,337.5
475,75,275.0
225,350,287.5
100,100,100.0
100,75,87.5
75,100,87.5
100,325,212.5
75,100,87.5
300,100,200.0
100,100,100.0
100,75,87.5
300,100,200.0
100,100,100.0
75,300,187.5
100,325,212.5
100,100,100.0
350,100,225.0
75,100,87.5
100,350,225.0
100,100,100.0
100,100,100.0
300,300,300.0
300,100,200.0
325,50,187.5
50,300,175.0
275,300,287.5
325,350,337.5
100,325,212.5
275,275,275.0
350,100,225.0
275,350,312.5
300,350,325.0
300,300,300.0
350,375,362.5
350,300,325.0
275,275,275.0
275,300,287.5
275,275,275.0
350,300,325.0
300,350,325.0
350,350,350.0
275,350,312.5
350,275,312.5
350,350,350.0
350,300,325.0
350,275,312.5
300,350,325.0
300,300,300.0
300,300,300.0
300,300,300.0
350,375,362.5
300,300,300.0
375,300,337.5
300,375,337.5
300,300,300.0
150,375,262.5
300,100,200.0
300,300,300.0
300,300,300.0
75,300,187.5
425,300,362.5
300,325,312.5
300,300,300.0
375,325,350.0
150,150,150.0
300,300,300.0
300,375,337.5
325,150,237.5
400,100,250.0
100,100,100.0
300,100,200.0
100,400,250.0
75,100,87.5
100,100,100.0
100,100,100.0
100,100,100.0
375,375,375.0
300,100,200.0
100,100,100.0
100,100,100.0
100,100,100.0
100,125,112.5
100,300,200.0
