,windows_run_0,window_mean
1285,424.0,424.0
1286,599.0,599.0
1287,424.0,424.0
1288,212.0,212.0
1289,599.0,599.0
1290,599.0,599.0
1291,848.0,848.0
1292,599.0,599.0
1293,599.0,599.0
1294,848.0,848.0
1295,424.0,424.0
1296,848.0,848.0
1297,424.0,424.0
1298,848.0,848.0
1299,848.0,848.0
1300,848.0,848.0
1301,848.0,848.0
1302,599.0,599.0
1303,848.0,848.0
1304,848.0,848.0
1305,848.0,848.0
1306,599.0,599.0
1307,599.0,599.0
1308,848.0,848.0
1309,599.0,599.0
1310,848.0,848.0
1311,848.0,848.0
1312,848.0,848.0
1313,599.0,599.0
1314,848.0,848.0
1315,599.0,599.0
1316,848.0,848.0
1317,848.0,848.0
1318,599.0,599.0
1319,599.0,599.0
1320,599.0,599.0
1321,848.0,848.0
1322,599.0,599.0
1323,848.0,848.0
1324,848.0,848.0
1325,424.0,424.0
1326,599.0,599.0
1327,599.0,599.0
1328,848.0,848.0
1329,848.0,848.0
1330,848.0,848.0
1331,848.0,848.0
1332,848.0,848.0
1333,848.0,848.0
1334,848.0,848.0
1335,848.0,848.0
1336,848.0,848.0
1337,848.0,848.0
1338,848.0,848.0
1339,848.0,848.0
1340,848.0,848.0
1341,848.0,848.0
1342,848.0,848.0
1343,848.0,848.0
1344,848.0,848.0
1345,599.0,599.0
1346,848.0,848.0
1347,848.0,848.0
1348,599.0,599.0
1349,599.0,599.0
1350,848.0,848.0
1351,848.0,848.0
1352,848.0,848.0
1353,599.0,599.0
1354,848.0,848.0
1355,848.0,848.0
1356,848.0,848.0
1357,848.0,848.0
1358,848.0,848.0
1359,848.0,848.0
1360,848.0,848.0
1361,848.0,848.0
1362,848.0,848.0
1363,848.0,848.0
1364,848.0,848.0
1365,848.0,848.0
1366,848.0,848.0
1367,848.0,848.0
1368,848.0,848.0
1369,848.0,848.0
1370,848.0,848.0
1371,848.0,848.0
1372,848.0,848.0
1373,848.0,848.0
1374,599.0,599.0
1375,848.0,848.0
1376,848.0,848.0
1377,848.0,848.0
1378,424.0,424.0
1379,848.0,848.0
1380,848.0,848.0
1381,848.0,848.0
1382,848.0,848.0
1383,848.0,848.0
1384,848.0,848.0
1385,848.0,848.0
1386,848.0,848.0
1387,848.0,848.0
1388,848.0,848.0
1389,848.0,848.0
1390,848.0,848.0
1391,848.0,848.0
1392,848.0,848.0
